gender,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,MonthlyCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalCharges_boxcox,tenure_cbrt,TotalServices,HasPremiumSupport,AvgMonthlySpend,Churn
0,0,1,1,1,1,-1.2916049,0,1,1,0,1,0,0,-0.08235638,0.66322094,0,0,-0.06120209,0
0,0,0,1,1,1,0.48485613,1,0,0,0,0,1,0,-1.5026888,-1.8123131,1,0,0.15698504,1
0,0,1,1,0,0,-0.47233894,0,0,0,0,0,1,0,-0.58550626,-0.6272796,3,0,-0.58840805,0
0,0,1,0,1,1,0.34526518,1,0,0,0,0,0,0,-0.6609854,-0.92843103,1,0,-2.421835,1
0,0,0,0,1,1,1.2974749,1,0,0,0,0,0,0,0.99973315,0.58492744,5,1,1.4311454,0
0,0,1,0,1,1,-1.4827116,0,1,0,1,0,0,0,-0.23906954,0.76237464,0,0,-0.14734899,0
1,0,0,0,1,1,1.1479131,1,0,0,0,1,0,0,-0.2781979,-0.7665971,3,0,-0.44195837,0
0,0,1,0,1,1,-0.08680205,0,0,1,0,0,0,0,0.385535,0.38648883,2,0,0.44472617,0
0,0,1,1,1,0,-1.4660935,0,1,0,1,0,0,0,-0.18218249,0.7381076,0,0,-0.11878469,0
0,0,1,1,1,1,-1.4893587,0,1,0,1,0,0,1,-0.27210364,0.68854326,0,0,-0.17959802,0
1,0,1,0,0,0,-1.0307027,0,0,0,0,0,0,1,-0.2142257,0.19406347,1,0,-0.1914347,0
1,0,1,1,1,0,0.5745931,1,0,0,0,0,0,0,0.512919,0.22786814,2,0,0.6623229,0
1,1,0,0,1,0,0.330309,1,0,0,0,0,1,0,-1.5241594,-1.8123131,1,0,0.1579395,0
1,0,1,1,1,1,0.6394032,0,0,0,1,0,0,1,1.28704,1.1321559,5,1,1.0697128,0
0,0,0,0,1,1,1.5384355,1,0,0,0,1,0,0,1.5271131,1.1122944,5,0,1.5171157,0
1,0,0,0,1,1,1.2010906,1,0,0,1,0,0,0,1.5821513,1.2472993,4,0,1.3145454,0
0,0,0,0,1,1,0.47156173,1,0,0,0,0,1,0,-0.2719218,-0.5639137,1,0,-0.29010975,1
1,0,1,1,1,1,0.06940687,0,0,1,0,1,0,0,1.0934864,1.2285651,3,0,0.6953084,0
1,0,0,0,1,0,-1.4527992,0,1,0,0,0,0,1,-1.366995,-1.1249284,0,0,1.7592199,1
1,0,0,0,1,0,-1.454461,0,1,0,1,0,0,0,-0.14963861,0.8332507,0,0,-0.088044435,0
0,1,1,0,1,1,1.1213244,1,0,0,0,0,1,0,0.49382478,0.05048319,4,0,0.63848925,1
1,0,0,0,1,0,-1.4810498,0,1,0,0,0,0,1,-1.9129603,-1.8123131,0,0,0.17210636,0
0,0,1,1,1,0,-1.5059767,0,1,0,0,0,1,0,-1.9222395,-1.8123131,0,0,0.1723817,0
1,0,0,0,1,0,1.0049986,1,0,1,0,0,0,0,0.8218338,0.47450525,3,1,1.1516302,0
0,1,1,0,0,0,-0.63851863,0,0,1,0,0,0,0,0.6589692,1.1321559,3,0,0.38055232,0
1,0,1,0,1,1,1.5035377,1,0,0,1,0,0,0,1.6054373,1.171285,5,1,1.526734,1
1,0,0,0,0,0,-1.3447824,0,0,0,0,0,0,1,-1.4164685,-1.1249284,0,0,1.7882657,0
0,0,1,1,1,1,1.3091074,1,0,1,0,0,1,0,1.5580074,1.2472993,4,0,1.2750747,0
0,0,0,0,0,0,-1.1503521,0,0,1,0,0,0,1,-0.27170366,0.2932877,1,0,-0.23206541,0
1,0,0,0,1,0,0.9833952,1,0,1,0,0,0,1,0.90262896,0.6114279,2,0,1.193312,0
1,0,1,1,1,0,-1.5076385,0,1,0,1,1,0,0,0.0010904886,1.2472993,0,0,0.0003710546,0
1,0,1,0,1,1,1.0631615,1,0,0,0,0,1,0,1.1950852,0.9014506,3,0,1.3297539,1
0,0,0,0,1,0,-0.226393,0,0,1,0,1,0,0,0.663475,0.8332507,3,1,0.5964578,0
0,0,0,0,1,1,0.89365816,1,0,0,0,0,1,0,0.9107415,0.6114279,3,0,1.2096623,0
0,1,1,0,1,1,0.39013368,1,0,0,0,0,1,0,0.6101215,0.44569844,0,0,0.77227986,1
0,0,1,1,0,1,-0.3377334,0,0,0,1,0,1,0,0.7728007,1.0922282,4,0,0.5062223,0
1,0,1,1,1,0,0.83383346,1,0,0,0,0,1,0,-1.0265074,-1.3841357,3,0,0.3885187,0
0,0,0,0,0,0,-1.1204398,0,0,0,1,0,0,0,-0.13751373,0.4163678,1,0,-0.11982812,0
0,0,1,1,1,1,1.1794872,1,0,0,0,0,1,0,-0.17714971,-0.6946121,3,0,-0.2441804,1
0,0,0,0,1,0,-1.4660935,0,1,0,1,0,0,1,-0.3416136,0.5580029,0,0,-0.24654208,0
1,0,1,1,1,1,0.67928636,1,0,0,0,1,0,0,0.36101568,0.124047734,2,0,0.43395758,0
0,0,1,1,1,1,1.1645311,1,0,1,0,1,0,0,1.2493047,0.9236315,3,0,1.3914948,0
0,0,0,0,1,0,-1.4644318,0,1,0,0,0,0,1,-1.370814,-1.021193,0,0,11.489764,0
1,0,0,0,1,1,0.32033822,1,0,0,0,0,1,0,-1.0641451,-1.3841357,0,0,0.39653033,1
0,0,1,1,1,0,-0.46735355,0,0,0,0,0,0,1,-0.85331005,-0.92843103,1,0,-2.874196,0
0,0,1,1,1,0,-1.4594464,0,1,0,0,0,0,1,-1.5834479,-1.243603,0,0,0.860761,0
1,0,0,0,1,1,0.80392116,1,0,0,1,0,1,0,0.65908957,0.3249784,3,0,0.9020714,0
0,1,0,0,1,1,0.44164938,1,0,0,0,0,1,0,0.3547475,0.124047734,1,0,0.42500934,1
1,0,1,0,1,1,-1.3697094,0,1,0,1,0,0,0,0.18102522,1.2472993,0,0,0.06748712,0
1,0,0,0,1,0,-1.4960059,0,1,0,0,0,0,1,-1.9184978,-1.8123131,0,0,0.17227098,0
1,1,0,0,0,1,-0.2762469,0,0,1,0,0,1,0,0.91842407,1.2285651,4,0,0.527382,0
0,0,0,0,1,1,0.7042133,1,0,0,0,0,1,0,-0.08292083,-0.50397736,1,0,-0.09125758,0
0,0,1,1,0,1,-0.20478964,0,0,0,0,1,0,0,0.07441571,0.05048319,5,0,0.077244595,1
1,0,0,0,1,0,-0.47233894,0,0,0,1,0,0,0,0.7271176,1.1518178,1,0,0.42289016,0
1,0,0,0,0,1,-0.9742017,0,0,0,0,0,1,0,-1.7626045,-1.8123131,1,0,0.16726947,1
1,0,0,0,1,0,-0.67840177,0,0,0,0,0,1,0,-1.4941823,-1.5606626,0,0,0.27686438,1
0,0,0,0,1,1,-1.2982521,0,1,0,1,1,0,0,-0.09937443,0.6114279,0,0,-0.07699659,0
0,0,0,0,1,1,0.3402798,1,0,0,0,0,0,0,0.20572062,-0.027117206,1,0,0.22841454,0
0,0,1,1,1,0,-1.4810498,0,1,0,1,0,0,1,-0.04669556,1.0922282,0,0,-0.019809965,0
1,0,0,1,1,1,-1.5009913,0,1,0,1,0,0,1,-0.11010419,0.9455499,0,0,-0.056497328,0
0,1,1,0,1,1,0.18905625,1,0,0,0,0,0,1,-1.544662,-1.8123131,0,0,0.158832,1
0,1,1,1,1,1,0.7740088,0,0,0,1,1,0,0,1.4145329,1.2472993,6,1,1.0591979,0
0,0,0,0,1,0,0.2123214,0,0,0,0,0,1,0,-0.587296,-0.8441327,3,0,-1.114596,1
0,0,1,0,1,1,1.206076,1,0,0,1,0,0,0,1.3343976,1.030746,3,0,1.3353556,0
1,0,0,0,1,1,0.649374,1,0,1,0,1,0,0,1.2050734,1.0922282,2,0,1.0147707,0
1,1,1,0,1,0,-1.3564149,0,1,0,1,0,0,0,0.19569439,1.2285651,0,0,0.075728014,0
0,0,1,1,1,1,1.1396041,1,0,0,1,1,0,0,1.412996,1.1122944,4,0,1.3081127,0
1,0,0,0,1,0,-1.5009913,0,1,1,0,0,0,1,-1.5918298,-1.3841357,0,0,0.4821777,0
1,0,0,0,1,1,-0.6351951,0,0,0,0,0,1,0,-1.6869959,-1.8123131,0,0,0.16454814,1
1,0,0,1,1,0,-0.0086975945,0,0,1,0,1,0,0,0.27144274,0.22786814,3,0,0.30820912,0
1,0,1,1,1,1,0.1574821,0,0,0,0,0,0,1,-0.17273137,-0.3927553,4,1,-0.16886723,0
0,0,1,1,1,1,0.12590796,0,0,0,0,0,1,0,-0.5865586,-0.8441327,3,0,-1.113567,0
1,0,0,0,1,0,1.0049986,1,0,0,0,0,0,1,-0.4958628,-0.92843103,2,0,-1.9576405,1
0,0,1,1,1,1,1.4420512,1,0,1,0,1,0,0,1.6529053,1.2096542,5,0,1.5242112,0
1,0,1,1,1,0,0.7091987,0,0,0,1,0,1,0,1.1903502,1.0514597,6,1,1.058162,0
0,0,1,1,1,0,-1.4976677,0,1,0,0,0,0,1,-1.3682071,-1.021193,0,0,11.479557,0
0,0,1,1,1,1,0.5363718,1,0,0,0,0,0,0,-0.1210171,-0.44704098,1,0,-0.12516317,0
0,0,0,0,1,1,0.6443886,1,0,0,0,0,0,0,0.22498976,-0.067613915,1,0,0.2523879,0
1,0,1,1,1,0,-1.4827116,0,1,1,0,0,0,1,-0.7557941,-0.067613915,0,0,-0.53052646,0
1,0,1,1,1,0,-0.01700658,0,0,0,1,0,0,1,-0.20420904,-0.34083176,3,0,-0.19232275,0
1,0,0,0,1,0,-1.2982521,0,1,0,1,0,0,0,-1.0203305,-0.6946121,0,0,-0.9618939,0
0,0,0,1,1,1,-0.29120308,0,0,0,0,0,1,0,-0.3989665,-0.50397736,2,0,-0.37728143,0
0,0,1,0,1,0,0.58622575,1,0,0,0,0,1,0,0.11895363,-0.15244755,1,0,0.1267668,1
0,0,0,0,1,1,0.16412929,1,0,0,0,0,1,0,-1.2977667,-1.5606626,0,0,0.2594761,0
1,0,0,0,1,1,0.30372024,0,0,0,1,0,0,0,0.9117643,0.8562688,4,1,0.9145457,0
0,0,1,1,1,0,-1.4677553,0,1,1,0,0,0,1,-1.0552611,-0.6272796,0,0,-0.8655302,0
1,0,1,0,1,0,-1.4910206,0,1,0,1,0,0,1,0.0011996134,1.1905624,0,0,0.0004466275,0
0,0,0,0,1,1,0.20401242,1,0,0,0,0,0,0,-0.9804582,-1.243603,0,0,0.67677474,1
1,0,1,0,1,1,0.8072447,0,0,0,1,0,0,0,1.3848531,1.2472993,6,1,1.018278,0
1,1,1,0,0,1,-0.64682764,0,0,0,0,0,1,0,0.5401428,0.96721345,3,0,0.3760188,1
0,0,1,1,1,0,-1.4744025,0,1,0,0,0,1,0,-0.8981907,-0.34083176,0,0,-0.6171281,0
1,0,1,0,1,1,0.64771223,1,0,1,0,0,0,0,0.8041867,0.6114279,3,1,1.0051273,0
0,0,1,0,1,1,1.3174164,1,0,0,0,0,1,0,-1.0374606,-1.5606626,4,1,0.2304847,1
1,0,1,0,1,0,0.5712696,0,0,0,1,0,0,1,-0.10328164,-0.44704098,5,1,-0.10775369,0
0,0,1,0,1,1,1.0000132,1,0,1,0,0,0,0,1.1465415,0.8562688,3,0,1.319125,1
0,0,0,0,1,0,-1.4694172,0,1,1,0,0,0,0,-0.49675807,0.2932877,0,0,-0.38186613,0
0,0,1,0,1,0,-1.331488,0,1,0,0,0,1,0,-0.38592264,0.3560352,0,0,-0.30635086,0
0,1,0,0,1,1,0.322,1,0,0,0,0,0,1,-0.12541737,-0.3927553,0,0,-0.12547316,1
0,1,0,0,1,0,0.3884719,1,0,0,0,0,0,0,-0.6532672,-0.92843103,1,0,-2.4018023,1
0,0,1,1,1,1,1.3489906,1,0,0,0,0,0,0,0.102742,-0.3927553,4,0,0.11518388,0
1,0,1,0,1,1,-1.4694172,0,1,1,0,1,0,0,-0.061553594,1.030746,0,0,-0.028493805,0
0,0,0,0,0,0,-1.1569993,0,0,0,0,0,0,0,-1.8101821,-1.8123131,1,0,0.16887936,1
0,0,0,0,1,0,-0.64682764,0,0,0,0,0,0,1,-1.6893743,-1.8123131,0,0,0.16463692,0
1,0,0,0,1,0,0.6560212,1,0,0,0,0,0,0,-0.48915574,-0.8441327,1,0,-0.9707694,1
1,0,1,1,1,0,0.33197078,0,0,1,0,1,0,0,0.4724778,0.3249784,4,0,0.5839226,0
0,0,0,0,1,1,0.4815325,1,0,0,0,0,1,0,-0.14680721,-0.50397736,2,0,-0.15658331,1
0,0,1,0,0,1,-1.3281645,0,0,0,0,0,1,0,-1.8608508,-1.8123131,0,0,0.1705117,1
1,0,0,0,1,1,-0.43079403,0,0,0,0,0,0,1,-0.20431037,-0.15244755,1,0,-0.1854477,0
1,0,0,0,0,0,-1.1420431,0,0,0,0,0,1,0,-1.4902041,-1.3841357,1,0,0.4689956,0
0,0,0,0,1,0,-1.4993294,0,1,1,0,0,1,0,-1.0335274,-0.50397736,0,0,-0.7388248,0
0,0,1,0,1,0,-0.2712615,0,0,0,0,1,0,0,0.44605675,0.53063697,1,0,0.4890665,0
1,0,1,1,1,1,0.23724836,0,0,1,0,1,0,0,0.70216626,0.6114279,3,0,0.82869726,0
1,0,1,0,1,1,0.8720548,1,0,0,0,0,1,0,-0.6224771,-1.021193,3,0,7.1360445,1
0,0,1,1,1,0,-1.4960059,0,1,0,1,0,0,0,0.0076982668,1.1905624,0,0,0.002875473,0
0,0,1,1,1,0,1.4935669,1,0,0,1,1,0,0,1.6817914,1.2472993,5,0,1.4879059,0
1,0,1,1,1,0,-1.5109621,0,1,0,1,1,0,0,-0.09665783,0.9886294,0,0,-0.046856835,0
0,0,1,0,1,1,1.0565143,1,0,0,0,0,1,0,0.25946173,-0.15244755,4,0,0.2972854,0
1,0,1,1,1,1,-1.3514296,0,1,0,1,0,0,0,-0.56264746,0.012222058,0,0,-0.4303004,0
1,0,0,0,1,1,1.5484062,1,0,0,0,0,1,0,1.4305958,0.9886294,5,1,1.6178765,0
1,0,1,1,1,1,1.5783186,1,0,0,1,0,0,0,1.6691182,1.2472993,5,1,1.4648856,0
1,0,0,1,1,0,-1.46277,0,1,0,0,0,0,1,-1.9063101,-1.8123131,0,0,0.17190742,0
0,0,1,0,1,1,1.2343266,1,0,1,0,1,0,0,0.55005175,0.124047734,4,0,0.73194563,0
0,0,0,0,1,1,0.50812125,1,0,0,0,1,0,0,-0.14639434,-0.44704098,2,0,-0.14954306,0
1,0,1,1,1,0,1.3556378,1,0,0,1,0,1,0,1.5739062,1.2285651,4,0,1.3402156,0
1,0,0,1,1,1,0.44995838,1,0,0,0,1,0,0,-0.19751266,-0.50397736,1,0,-0.20554088,0
1,0,0,0,1,0,0.13587874,1,0,0,0,1,0,0,0.63823986,0.6375206,0,0,0.7093474,0
0,0,0,0,1,1,0.5047977,1,0,1,0,0,0,0,0.5512701,0.3249784,2,0,0.71105164,0
1,0,1,1,0,1,-0.30948284,0,0,0,1,1,0,0,0.9651023,1.2472993,5,1,0.5526476,0
1,0,0,0,1,0,0.50313586,1,0,0,0,0,1,0,-1.5002111,-1.8123131,1,0,0.15687357,1
0,0,0,0,1,1,1.3905355,1,0,0,0,0,1,0,0.27333575,-0.19699931,5,1,0.31676322,1
1,0,1,0,1,1,1.2526063,1,0,1,0,1,0,0,1.4532322,1.0922282,5,1,1.4228982,0
1,0,0,0,1,1,-0.6235625,0,0,0,0,1,0,0,-1.4799658,-1.5606626,0,0,0.27571726,1
0,0,0,0,0,0,-1.3132082,0,0,0,0,0,1,0,-1.8561368,-1.8123131,0,0,0.17036329,0
1,0,0,1,1,0,-1.4960059,0,1,0,1,0,0,1,-0.13886732,1.030746,0,0,-0.061885513,0
0,0,1,1,1,0,-1.4876969,0,1,1,0,0,1,0,-0.61256766,0.19406347,0,0,-0.45471913,0
1,1,1,0,1,0,0.7324639,1,0,0,0,0,1,0,0.2905992,-0.027117206,1,0,0.33723524,0
0,0,1,0,0,1,-0.19980425,0,0,0,0,0,0,0,0.77662486,0.9455499,5,0,0.6362484,0
1,0,1,1,0,0,-0.6484894,0,0,0,1,1,0,0,0.69237995,1.2472993,4,1,0.3395574,0
1,0,1,0,0,1,-0.2712615,0,0,0,1,0,0,0,0.8694345,1.1321559,5,1,0.565265,0
1,0,1,1,1,1,0.6460504,0,0,0,1,0,0,0,1.2120912,1.1122944,5,1,0.9934243,0
0,0,0,0,1,1,0.5064595,1,0,0,0,0,0,0,-0.52549183,-0.8441327,1,0,-1.0256728,0
0,0,0,0,1,1,0.17908546,1,0,0,0,0,1,0,-0.988919,-1.243603,0,0,0.68019795,1
0,0,1,0,1,0,-1.3298262,0,1,0,1,0,0,0,0.23154049,1.2285651,0,0,0.09127796,0
1,0,1,1,1,1,-1.4810498,0,1,1,0,0,1,0,-1.9129603,-1.8123131,0,0,0.17210636,0
1,0,1,0,1,0,-0.48895693,0,0,0,0,0,0,1,-1.177029,-1.243603,1,0,0.74928284,1
0,0,0,0,1,1,-1.5093002,0,1,1,0,0,0,0,-1.0854781,-0.5639137,0,0,-0.80696833,0
1,0,0,0,0,1,-0.47067717,0,0,1,0,0,0,1,-0.040416457,0.012222058,3,0,-0.03961053,0
0,0,1,1,1,1,0.54468083,0,0,1,0,0,0,1,0.50457585,0.2609297,5,1,0.6448274,0
0,0,1,0,1,0,-0.31779185,0,0,0,0,0,0,1,-1.6267049,-1.8123131,1,0,0.16222578,1
1,0,0,0,1,1,0.8354953,1,0,0,0,1,0,0,0.5638093,0.22786814,2,0,0.74849796,0
0,0,1,1,1,1,0.68261,0,0,0,1,1,0,0,0.9479694,0.7135012,5,0,1.159351,0
1,0,0,0,1,1,1.4370658,1,0,0,1,1,0,0,1.2957062,0.8789992,5,0,1.5803089,0
1,0,0,0,1,1,0.95514464,1,0,0,0,1,0,0,1.0932283,0.78631365,4,0,1.3349029,0
1,0,0,0,1,1,0.6593448,1,0,0,0,0,0,1,-1.4795349,-1.8123131,2,0,0.15593252,1
0,0,0,0,1,0,-1.479388,0,1,0,1,1,0,0,0.10651144,1.2472993,0,0,0.038221706,0
0,0,0,0,1,0,-1.3165318,0,1,0,0,0,1,0,-0.4531785,0.19406347,0,0,-0.36175144,0
1,0,0,0,1,1,-0.3443806,0,0,0,0,0,0,1,-1.3661308,-1.5606626,1,0,0.2659193,1
0,0,0,0,0,1,-1.1686319,0,0,0,1,0,0,1,-0.9349445,-0.6946121,1,0,-0.91356504,0
